FIPS_Code,Total Households,Population 25 years and older,Employment Status of the Population 16 years and over,Employed,Unemployed,Unemployment Rate,Percent Worked at Home,Median Household Income ($),Percent Families in Poverty,Total Housing Units,Percent Occupied,Percent Vacant,Total Population
24001,27759,50489,61337,28738,2853,9,1.7,42771,10.6,33211,84,16,72591
24003,205395,387306,451557,290628,15891,5.2,5.1,94502,3.9,219319,93.1,6.9,564600
24005,312859,573263,670033,420974,24399,5.5,4,71810,6,337031,93,7,828637
24009,31462,61269,71843,45756,3577,7.3,5.3,100350,3.3,34613,90.4,9.6,90824
24011,11996,22216,25875,15674,1087,6.5,2.6,52469,12.1,13525,88.4,11.6,32785
24013,60432,115213,135084,88335,3635,4,4.7,90510,3.4,63123,95.6,4.4,167319
24015,37076,69969,81142,50620,3121,5.8,4.6,70516,6.5,42269,87.3,12.7,102416
24017,54988,103318,122589,78635,3738,4.5,3.7,93973,5.2,58014,93.4,6.6,156021
24019,12940,23131,26313,15240,1373,8.3,2.6,50532,11.9,16700,77.3,22.7,32386
24021,90022,166221,194819,130387,6974,5.1,6.1,88502,4.5,93645,95.1,4.9,246105
24023,11865,21378,24679,13937,701,4.8,5.7,48174,7.6,19080,61.8,38.2,29516
24025,92895,172031,200369,129108,7145,5.2,4.4,83445,5.4,98277,94,6,250132
24027,111337,210338,244975,167493,7323,4.2,5.7,115576,3.6,115003,95.6,4.4,312495
24029,7605,13932,16794,9131,457,4.8,11,56638,7.8,10667,71.3,28.7,19666
24031,369242,713454,822213,554085,31839,5.4,5.9,103178,4.8,385485,95.5,4.5,1039198
24033,306694,607229,723402,476889,37548,7.3,2.8,78607,6.5,330708,92.8,7.2,905161
24035,17995,34452,39552,25556,986,3.7,7.6,89241,3.8,20754,86.2,13.8,49071
24037,39276,73031,86676,54121,2374,4.2,2.5,86508,5.8,43276,89.6,10.4,110979
24039,8362,17070,21979,8593,971,10.2,4.5,39239,18,11244,73.8,26.2,25801
24041,16498,28077,31332,17863,826,4.4,6.3,65595,6.7,20110,81.9,18.1,37461
24043,55999,103916,120112,67375,4898,6.8,4.8,58260,9.7,61199,91.4,8.6,149546
24045,37415,63959,82053,49785,4069,7.6,3.3,54493,10.2,41911,88.8,11.2,102014
24047,21190,38930,43529,23915,1841,7.1,5.5,59458,7.8,55822,37.8,62.2,51559
24510,239791,425235,502594,277954,30749,10,3.8,46641,17.2,296923,81.3,18.7,619796
